gt_type,scram_cond,stim_num,run,subject,lag,kappa
actual,intact,1,1,4,1,0.8827586206896552
actual,intact,1,1,5,1,-0.09285714285714297
actual,intact,1,1,6,1,0.15000000000000002
actual,intact,1,1,7,1,0.4769230769230769
actual,intact,1,1,8,1,-0.03478260869565197
actual,intact,1,1,9,1,-0.020000000000000018
actual,intact,1,1,10,1,0.08780487804878045
actual,intact,1,1,11,1,0.0
actual,intact,1,1,12,1,0.0
actual,intact,1,1,13,1,0.26086956521739135
actual,intact,1,1,14,1,-0.10140845070422544
actual,intact,1,1,15,1,0.4769230769230769
actual,intact,1,1,16,1,-0.03478260869565197
actual,intact,1,1,17,1,-0.03478260869565197
actual,intact,1,1,18,1,0.15000000000000002
actual,intact,1,1,19,1,-0.020000000000000018
actual,intact,1,1,20,1,0.4769230769230769
actual,intact,1,1,21,1,0.21538461538461529
actual,intact,1,1,22,1,-0.03478260869565197
actual,intact,1,1,23,1,0.5565217391304349
actual,intact,1,1,24,1,-0.0625
actual,intact,1,1,25,1,-0.04615384615384621
actual,intact,1,1,26,1,0.0
actual,intact,1,1,27,1,-0.020000000000000018
actual,intact,1,1,28,1,0.17931034482758623
actual,intact,1,1,29,1,-0.08181818181818179
actual,intact,1,1,30,1,-0.04615384615384621
actual,intact,1,1,31,1,-0.04615384615384621
actual,intact,1,1,32,1,0.36250000000000004
actual,intact,1,1,33,1,0.10526315789473684
actual,intact,1,1,34,1,-0.04615384615384621
actual,intact,1,1,35,1,0.08780487804878045
actual,intact,1,1,36,1,0.26086956521739135
actual,intact,1,1,37,1,-0.08799999999999986
actual,intact,1,1,38,1,0.21538461538461529
actual,intact,1,1,39,1,0.0
actual,intact,1,1,40,1,-0.03478260869565197
actual,intact,1,1,41,1,-0.020000000000000018
actual,intact,1,1,42,1,0.6421052631578947
actual,intact,1,1,0,2,-0.020242914979756943
actual,intact,1,1,1,2,-0.04672897196261694
actual,intact,1,1,2,2,0.08695652173913038
actual,intact,1,1,3,2,-0.04672897196261694
actual,intact,1,1,4,2,-0.05586592178770955
actual,intact,1,1,5,2,0.03669724770642213
actual,intact,1,1,6,2,-0.06329113924050622
actual,intact,1,1,7,2,0.2149532710280373
actual,intact,1,1,8,2,-0.035211267605633756
actual,intact,1,1,9,2,-0.020242914979756943
actual,intact,1,1,10,2,-0.07905138339920947
actual,intact,1,1,11,2,0.0
actual,intact,1,1,12,2,0.0
actual,intact,1,1,13,2,0.26056338028169024
actual,intact,1,1,14,2,0.08904109589041087
actual,intact,1,1,15,2,-0.04672897196261694
actual,intact,1,1,16,2,-0.035211267605633756
actual,intact,1,1,17,2,-0.035211267605633756
actual,intact,1,1,18,2,-0.06329113924050622
actual,intact,1,1,19,2,-0.020242914979756943
actual,intact,1,1,20,2,-0.04672897196261694
actual,intact,1,1,21,2,-0.04672897196261694
actual,intact,1,1,22,2,0.26056338028169024
actual,intact,1,1,23,2,-0.035211267605633756
actual,intact,1,1,24,2,-0.06329113924050622
actual,intact,1,1,25,2,0.2149532710280373
actual,intact,1,1,26,2,0.0
actual,intact,1,1,27,2,-0.020242914979756943
actual,intact,1,1,28,2,-0.05586592178770955
actual,intact,1,1,29,2,-0.0828729281767957
actual,intact,1,1,30,2,0.2149532710280373
actual,intact,1,1,31,2,0.2149532710280373
actual,intact,1,1,32,2,0.14936708860759496
actual,intact,1,1,33,2,-0.07462686567164178
actual,intact,1,1,34,2,-0.04672897196261694
actual,intact,1,1,35,2,-0.07905138339920947
actual,intact,1,1,36,2,-0.035211267605633756
actual,intact,1,1,37,2,0.04700162074554293
actual,intact,1,1,38,2,0.2149532710280373
actual,intact,1,1,39,2,0.0
actual,intact,1,1,40,2,-0.035211267605633756
actual,intact,1,1,41,2,-0.020242914979756943
actual,intact,1,1,42,2,-0.07462686567164178
actual,intact,1,1,0,3,-0.020491803278688492
actual,intact,1,1,1,3,-0.04731861198738163
actual,intact,1,1,2,3,0.08608608608608614
actual,intact,1,1,3,3,0.21451104100946383
actual,intact,1,1,4,3,-0.056577086280056754
actual,intact,1,1,5,3,-0.09295120061967466
actual,intact,1,1,6,3,-0.0641025641025641
actual,intact,1,1,7,3,-0.04731861198738163
actual,intact,1,1,8,3,-0.035650623885918
actual,intact,1,1,9,3,0.319672131147541
actual,intact,1,1,10,3,-0.08008008008008005
actual,intact,1,1,11,3,0.0
actual,intact,1,1,12,3,0.0
actual,intact,1,1,13,3,-0.035650623885918
actual,intact,1,1,14,3,-0.008097165991902688
actual,intact,1,1,15,3,-0.04731861198738163
actual,intact,1,1,16,3,-0.035650623885918
actual,intact,1,1,17,3,-0.035650623885918
actual,intact,1,1,18,3,-0.0641025641025641
actual,intact,1,1,19,3,-0.020491803278688492
actual,intact,1,1,20,3,0.21451104100946383
actual,intact,1,1,21,3,-0.04731861198738163
actual,intact,1,1,22,3,-0.035650623885918
actual,intact,1,1,23,3,-0.035650623885918
actual,intact,1,1,24,3,-0.0641025641025641
actual,intact,1,1,25,3,-0.04731861198738163
actual,intact,1,1,26,3,0.0
actual,intact,1,1,27,3,-0.020491803278688492
actual,intact,1,1,28,3,-0.056577086280056754
actual,intact,1,1,29,3,-0.08395522388059695
actual,intact,1,1,30,3,-0.04731861198738163
actual,intact,1,1,31,3,-0.04731861198738163
actual,intact,1,1,32,3,-0.0641025641025641
actual,intact,1,1,33,3,0.28293736501079914
actual,intact,1,1,34,3,-0.04731861198738163
actual,intact,1,1,35,3,-0.08008008008008005
actual,intact,1,1,36,3,-0.035650623885918
actual,intact,1,1,37,3,-0.090311986863711
actual,intact,1,1,38,3,-0.04731861198738163
actual,intact,1,1,39,3,0.0
actual,intact,1,1,40,3,-0.035650623885918
actual,intact,1,1,41,3,-0.020491803278688492
actual,intact,1,1,42,3,-0.07559395248380119
