scram_cond,stim_num,time,response
8B,3,27,0
8B,3,28,0
8B,3,29,0
8B,3,30,0
8B,3,31,0
8B,3,32,1
8B,3,33,0
8B,3,34,0
8B,3,35,0
8B,3,36,0
8B,3,37,0
8B,3,38,0
8B,3,39,0
8B,3,40,0
8B,3,41,0
8B,3,42,0
8B,3,43,0
8B,3,44,0
8B,3,45,0
8B,3,46,0
8B,3,47,0
8B,3,48,1
8B,3,49,0
8B,3,50,0
8B,3,51,0
8B,3,52,0
8B,3,53,0
8B,3,54,0
8B,3,55,0
8B,3,56,0
8B,3,57,0
8B,3,58,0
8B,3,59,0
8B,3,60,1
8B,3,61,0
8B,3,62,0
8B,3,63,0
8B,3,64,0
8B,3,65,0
8B,3,66,0
8B,3,67,0
8B,3,68,0
8B,3,69,0
8B,3,70,0
8B,3,71,0
8B,3,72,0
8B,3,73,0
8B,3,74,0
8B,3,75,0
8B,3,76,1
8B,3,77,0
8B,3,78,0
8B,3,79,0
8B,3,80,0
8B,3,81,0
8B,3,82,0
8B,3,83,0
8B,3,84,0
8B,3,85,0
intact,1,0,0
intact,1,1,0
intact,1,2,0
intact,1,3,0
intact,1,4,0
intact,1,5,0
intact,1,6,0
intact,1,7,0
intact,1,8,0
intact,1,9,0
intact,1,10,0
intact,1,11,0
intact,1,12,0
intact,1,13,0
intact,1,14,0
intact,1,15,0
intact,1,16,0
intact,1,17,0
intact,1,18,1
intact,1,19,0
intact,1,20,0
intact,1,21,0
intact,1,22,0
intact,1,23,0
intact,1,24,0
intact,1,25,0
intact,1,26,0
intact,1,27,0
intact,1,28,0
intact,1,29,0
intact,1,30,0
intact,1,31,0
intact,1,32,0
intact,1,33,0
intact,1,34,1
intact,1,35,0
intact,1,36,0
intact,1,37,0
intact,1,38,0
intact,1,39,0
intact,1,40,0
intact,1,41,0
intact,1,42,0
intact,1,43,0
intact,1,44,0
intact,1,45,0
intact,1,46,0
intact,1,47,0
intact,1,48,0
intact,1,49,0
intact,1,50,1
intact,1,51,0
intact,1,52,0
intact,1,53,0
intact,1,54,0
intact,1,55,0
intact,1,56,0
intact,1,57,0
intact,1,58,0
intact,1,59,0
intact,1,60,0
intact,1,61,0
intact,1,62,0
intact,1,63,0
intact,1,64,0
intact,1,65,0
intact,1,66,1
intact,1,67,0
intact,1,68,0
intact,1,69,0
intact,1,70,0
intact,1,71,0
intact,1,72,0
intact,1,73,0
intact,1,74,0
intact,1,75,0
intact,1,76,0
intact,1,77,0
intact,1,78,1
intact,1,79,0
intact,1,80,0
intact,1,81,0
intact,1,82,0
intact,1,83,0
intact,1,84,0
intact,1,85,0
