gt_type,scram_cond,stim_num,run,lag,kappa
actual,intact,1,1,-2,-0.020242914979756943
actual,intact,1,1,-2,-0.04672897196261694
actual,intact,1,1,-2,-0.0828729281767957
actual,intact,1,1,-2,-0.04672897196261694
actual,intact,1,1,-2,-0.05586592178770955
actual,intact,1,1,-2,-0.09406657018813314
actual,intact,1,1,-2,-0.06329113924050622
actual,intact,1,1,-2,-0.04672897196261694
actual,intact,1,1,-2,-0.035211267605633756
actual,intact,1,1,-2,-0.020242914979756943
actual,intact,1,1,-2,0.25296442687747034
actual,intact,1,1,-2,0.0
actual,intact,1,1,-2,0.0
actual,intact,1,1,-2,-0.035211267605633756
actual,intact,1,1,-2,0.2808219178082191
actual,intact,1,1,-2,-0.04672897196261694
actual,intact,1,1,-2,-0.035211267605633756
actual,intact,1,1,-2,0.26056338028169024
actual,intact,1,1,-2,0.14936708860759496
actual,intact,1,1,-2,-0.020242914979756943
actual,intact,1,1,-2,-0.04672897196261694
actual,intact,1,1,-2,-0.04672897196261694
actual,intact,1,1,-2,-0.035211267605633756
actual,intact,1,1,-2,-0.035211267605633756
actual,intact,1,1,-2,-0.06329113924050622
actual,intact,1,1,-2,0.2149532710280373
actual,intact,1,1,-2,0.0
actual,intact,1,1,-2,-0.020242914979756943
actual,intact,1,1,-2,-0.05586592178770955
actual,intact,1,1,-2,0.22651933701657445
actual,intact,1,1,-2,-0.04672897196261694
actual,intact,1,1,-2,-0.04672897196261694
actual,intact,1,1,-2,-0.06329113924050622
actual,intact,1,1,-2,-0.07462686567164178
actual,intact,1,1,-2,0.2149532710280373
actual,intact,1,1,-2,-0.07905138339920947
actual,intact,1,1,-2,-0.035211267605633756
actual,intact,1,1,-2,-0.09174311926605494
actual,intact,1,1,-2,-0.04672897196261694
actual,intact,1,1,-2,0.0
actual,intact,1,1,-2,-0.035211267605633756
actual,intact,1,1,-2,-0.020242914979756943
actual,intact,1,1,-2,0.10447761194029848
actual,intact,1,1,-1,-0.020000000000000018
actual,intact,1,1,-1,-0.04615384615384621
actual,intact,1,1,-1,0.07272727272727275
actual,intact,1,1,-1,-0.04615384615384621
actual,intact,1,1,-1,-0.05517241379310356
actual,intact,1,1,-1,-0.09285714285714297
actual,intact,1,1,-1,0.36250000000000004
actual,intact,1,1,-1,-0.04615384615384621
actual,intact,1,1,-1,0.26086956521739135
actual,intact,1,1,-1,-0.020000000000000018
actual,intact,1,1,-1,-0.07804878048780495
actual,intact,1,1,-1,0.0
actual,intact,1,1,-1,0.0
actual,intact,1,1,-1,-0.03478260869565197
actual,intact,1,1,-1,-0.10140845070422544
actual,intact,1,1,-1,-0.04615384615384621
actual,intact,1,1,-1,-0.03478260869565197
actual,intact,1,1,-1,0.26086956521739135
actual,intact,1,1,-1,-0.0625
actual,intact,1,1,-1,-0.020000000000000018
actual,intact,1,1,-1,-0.04615384615384621
actual,intact,1,1,-1,-0.04615384615384621
actual,intact,1,1,-1,-0.03478260869565197
actual,intact,1,1,-1,-0.03478260869565197
actual,intact,1,1,-1,-0.0625
actual,intact,1,1,-1,-0.04615384615384621
actual,intact,1,1,-1,0.0
actual,intact,1,1,-1,-0.020000000000000018
actual,intact,1,1,-1,-0.05517241379310356
actual,intact,1,1,-1,-0.08181818181818179
actual,intact,1,1,-1,0.21538461538461529
actual,intact,1,1,-1,-0.04615384615384621
actual,intact,1,1,-1,-0.0625
actual,intact,1,1,-1,-0.0736842105263158
actual,intact,1,1,-1,-0.04615384615384621
actual,intact,1,1,-1,-0.07804878048780495
actual,intact,1,1,-1,-0.03478260869565197
actual,intact,1,1,-1,-0.09056603773584904
actual,intact,1,1,-1,-0.04615384615384621
actual,intact,1,1,-1,0.0
actual,intact,1,1,-1,-0.03478260869565197
actual,intact,1,1,-1,-0.020000000000000018
actual,intact,1,1,-1,-0.0736842105263158
actual,intact,1,1,0,-0.01976284584980248
actual,intact,1,1,0,0.4772036474164133
actual,intact,1,1,0,-0.08078994614003587
actual,intact,1,1,0,-0.0455927051671734
actual,intact,1,1,0,-0.05449591280653965
actual,intact,1,1,0,0.15091678420310295
actual,intact,1,1,0,-0.061728395061728225
actual,intact,1,1,0,-0.0455927051671734
actual,intact,1,1,0,0.26116838487972505
actual,intact,1,1,0,-0.01976284584980248
actual,intact,1,1,0,0.2543352601156069
actual,intact,1,1,0,0.0
actual,intact,1,1,0,0.0
actual,intact,1,1,0,-0.03436426116838498
actual,intact,1,1,0,-0.10011123470522798
actual,intact,1,1,0,-0.0455927051671734
actual,intact,1,1,0,0.5567010309278351
actual,intact,1,1,0,-0.03436426116838498
actual,intact,1,1,0,0.15061728395061735
actual,intact,1,1,0,0.32015810276679835
actual,intact,1,1,0,-0.0455927051671734
actual,intact,1,1,0,0.21580547112462
actual,intact,1,1,0,-0.03436426116838498
actual,intact,1,1,0,-0.03436426116838498
actual,intact,1,1,0,-0.061728395061728225
actual,intact,1,1,0,0.21580547112462
actual,intact,1,1,0,0.0
actual,intact,1,1,0,-0.01976284584980248
actual,intact,1,1,0,0.41416893732970017
actual,intact,1,1,0,0.07360861759425497
actual,intact,1,1,0,-0.0455927051671734
actual,intact,1,1,0,-0.0455927051671734
actual,intact,1,1,0,-0.061728395061728225
actual,intact,1,1,0,-0.07276507276507282
actual,intact,1,1,0,-0.0455927051671734
actual,intact,1,1,0,0.4200385356454721
actual,intact,1,1,0,-0.03436426116838498
actual,intact,1,1,0,0.29508196721311475
actual,intact,1,1,0,-0.0455927051671734
actual,intact,1,1,0,0.0
actual,intact,1,1,0,0.5567010309278351
actual,intact,1,1,0,0.32015810276679835
actual,intact,1,1,0,-0.07276507276507282
actual,intact,1,1,1,0.32000000000000006
actual,intact,1,1,1,-0.04615384615384621
actual,intact,1,1,1,-0.08181818181818179
actual,intact,1,1,1,0.21538461538461529
actual,intact,1,1,1,0.8827586206896552
actual,intact,1,1,1,-0.09285714285714297
actual,intact,1,1,1,0.15000000000000002
actual,intact,1,1,1,0.4769230769230769
actual,intact,1,1,1,-0.03478260869565197
actual,intact,1,1,1,-0.020000000000000018
actual,intact,1,1,1,0.08780487804878045
actual,intact,1,1,1,0.0
actual,intact,1,1,1,0.0
actual,intact,1,1,1,0.26086956521739135
actual,intact,1,1,1,-0.10140845070422544
actual,intact,1,1,1,0.4769230769230769
actual,intact,1,1,1,-0.03478260869565197
actual,intact,1,1,1,-0.03478260869565197
actual,intact,1,1,1,0.15000000000000002
actual,intact,1,1,1,-0.020000000000000018
actual,intact,1,1,1,0.4769230769230769
actual,intact,1,1,1,0.21538461538461529
actual,intact,1,1,1,-0.03478260869565197
actual,intact,1,1,1,0.5565217391304349
actual,intact,1,1,1,-0.0625
actual,intact,1,1,1,-0.04615384615384621
actual,intact,1,1,1,0.0
actual,intact,1,1,1,-0.020000000000000018
actual,intact,1,1,1,0.17931034482758623
actual,intact,1,1,1,-0.08181818181818179
actual,intact,1,1,1,-0.04615384615384621
actual,intact,1,1,1,-0.04615384615384621
actual,intact,1,1,1,0.36250000000000004
actual,intact,1,1,1,0.10526315789473684
actual,intact,1,1,1,-0.04615384615384621
actual,intact,1,1,1,0.08780487804878045
actual,intact,1,1,1,0.26086956521739135
actual,intact,1,1,1,-0.08799999999999986
actual,intact,1,1,1,0.21538461538461529
actual,intact,1,1,1,0.0
actual,intact,1,1,1,-0.03478260869565197
actual,intact,1,1,1,-0.020000000000000018
actual,intact,1,1,1,0.6421052631578947
actual,intact,1,1,2,-0.020242914979756943
actual,intact,1,1,2,-0.04672897196261694
actual,intact,1,1,2,0.08695652173913038
actual,intact,1,1,2,-0.04672897196261694
actual,intact,1,1,2,-0.05586592178770955
actual,intact,1,1,2,0.03669724770642213
actual,intact,1,1,2,-0.06329113924050622
actual,intact,1,1,2,0.2149532710280373
actual,intact,1,1,2,-0.035211267605633756
actual,intact,1,1,2,-0.020242914979756943
actual,intact,1,1,2,-0.07905138339920947
actual,intact,1,1,2,0.0
actual,intact,1,1,2,0.0
actual,intact,1,1,2,0.26056338028169024
actual,intact,1,1,2,0.08904109589041087
actual,intact,1,1,2,-0.04672897196261694
actual,intact,1,1,2,-0.035211267605633756
actual,intact,1,1,2,-0.035211267605633756
actual,intact,1,1,2,-0.06329113924050622
actual,intact,1,1,2,-0.020242914979756943
actual,intact,1,1,2,-0.04672897196261694
actual,intact,1,1,2,-0.04672897196261694
actual,intact,1,1,2,0.26056338028169024
actual,intact,1,1,2,-0.035211267605633756
actual,intact,1,1,2,-0.06329113924050622
actual,intact,1,1,2,0.2149532710280373
actual,intact,1,1,2,0.0
actual,intact,1,1,2,-0.020242914979756943
actual,intact,1,1,2,-0.05586592178770955
actual,intact,1,1,2,-0.0828729281767957
actual,intact,1,1,2,0.2149532710280373
actual,intact,1,1,2,0.2149532710280373
actual,intact,1,1,2,0.14936708860759496
actual,intact,1,1,2,-0.07462686567164178
actual,intact,1,1,2,-0.04672897196261694
actual,intact,1,1,2,-0.07905138339920947
actual,intact,1,1,2,-0.035211267605633756
actual,intact,1,1,2,0.04700162074554293
actual,intact,1,1,2,0.2149532710280373
actual,intact,1,1,2,0.0
actual,intact,1,1,2,-0.035211267605633756
actual,intact,1,1,2,-0.020242914979756943
actual,intact,1,1,2,-0.07462686567164178
actual,intact,1,1,3,-0.020491803278688492
actual,intact,1,1,3,-0.04731861198738163
actual,intact,1,1,3,0.08608608608608614
actual,intact,1,1,3,0.21451104100946383
actual,intact,1,1,3,-0.056577086280056754
actual,intact,1,1,3,-0.09295120061967466
actual,intact,1,1,3,-0.0641025641025641
actual,intact,1,1,3,-0.04731861198738163
actual,intact,1,1,3,-0.035650623885918
actual,intact,1,1,3,0.319672131147541
actual,intact,1,1,3,-0.08008008008008005
actual,intact,1,1,3,0.0
actual,intact,1,1,3,0.0
actual,intact,1,1,3,-0.035650623885918
actual,intact,1,1,3,-0.008097165991902688
actual,intact,1,1,3,-0.04731861198738163
actual,intact,1,1,3,-0.035650623885918
actual,intact,1,1,3,-0.035650623885918
actual,intact,1,1,3,-0.0641025641025641
actual,intact,1,1,3,-0.020491803278688492
actual,intact,1,1,3,0.21451104100946383
actual,intact,1,1,3,-0.04731861198738163
actual,intact,1,1,3,-0.035650623885918
actual,intact,1,1,3,-0.035650623885918
actual,intact,1,1,3,-0.0641025641025641
actual,intact,1,1,3,-0.04731861198738163
actual,intact,1,1,3,0.0
actual,intact,1,1,3,-0.020491803278688492
actual,intact,1,1,3,-0.056577086280056754
actual,intact,1,1,3,-0.08395522388059695
actual,intact,1,1,3,-0.04731861198738163
actual,intact,1,1,3,-0.04731861198738163
actual,intact,1,1,3,-0.0641025641025641
actual,intact,1,1,3,0.28293736501079914
actual,intact,1,1,3,-0.04731861198738163
actual,intact,1,1,3,-0.08008008008008005
actual,intact,1,1,3,-0.035650623885918
actual,intact,1,1,3,-0.090311986863711
actual,intact,1,1,3,-0.04731861198738163
actual,intact,1,1,3,0.0
actual,intact,1,1,3,-0.035650623885918
actual,intact,1,1,3,-0.020491803278688492
actual,intact,1,1,3,-0.07559395248380119
actual,intact,1,1,4,-0.020746887966804906
actual,intact,1,1,4,-0.047923322683705916
actual,intact,1,1,4,-0.08113590263691695
actual,intact,1,1,4,-0.047923322683705916
actual,intact,1,1,4,-0.057306590257879764
actual,intact,1,1,4,0.034536891679748716
actual,intact,1,1,4,0.1480519480519481
actual,intact,1,1,4,-0.047923322683705916
actual,intact,1,1,4,-0.036101083032491044
actual,intact,1,1,4,-0.020746887966804906
actual,intact,1,1,4,-0.08113590263691695
actual,intact,1,1,4,0.0
actual,intact,1,1,4,0.0
actual,intact,1,1,4,-0.036101083032491044
actual,intact,1,1,4,-0.10550996483001174
actual,intact,1,1,4,-0.047923322683705916
actual,intact,1,1,4,-0.036101083032491044
actual,intact,1,1,4,-0.036101083032491044
actual,intact,1,1,4,-0.06493506493506485
actual,intact,1,1,4,-0.020746887966804906
actual,intact,1,1,4,-0.047923322683705916
actual,intact,1,1,4,-0.047923322683705916
actual,intact,1,1,4,-0.036101083032491044
actual,intact,1,1,4,-0.036101083032491044
actual,intact,1,1,4,-0.06493506493506485
actual,intact,1,1,4,-0.047923322683705916
actual,intact,1,1,4,0.0
actual,intact,1,1,4,0.31950207468879677
actual,intact,1,1,4,-0.057306590257879764
actual,intact,1,1,4,-0.08506616257088839
actual,intact,1,1,4,-0.047923322683705916
actual,intact,1,1,4,0.21405750798722045
actual,intact,1,1,4,-0.06493506493506485
actual,intact,1,1,4,-0.07658643326039383
actual,intact,1,1,4,-0.047923322683705916
actual,intact,1,1,4,-0.08113590263691695
actual,intact,1,1,4,-0.036101083032491044
actual,intact,1,1,4,0.04492512479201338
actual,intact,1,1,4,-0.047923322683705916
actual,intact,1,1,4,0.0
actual,intact,1,1,4,-0.036101083032491044
actual,intact,1,1,4,-0.020746887966804906
actual,intact,1,1,4,-0.07658643326039383
periodic,2B,1,1,-2,-0.09975062344139651
periodic,2B,1,1,-2,-0.0828729281767957
periodic,2B,1,1,-2,0.17877094972067042
periodic,2B,1,1,-2,-0.035211267605633756
periodic,2B,1,1,-2,-0.09174311926605494
periodic,2B,1,1,-2,0.1250000000000001
periodic,2B,1,1,-2,-0.07462686567164178
periodic,2B,1,1,-2,-0.08620689655172398
periodic,2B,1,1,-2,-0.06329113924050622
periodic,2B,1,1,-2,-0.04672897196261694
periodic,2B,1,1,-2,0.27062228654124454
periodic,2B,1,1,-2,0.0
periodic,2B,1,1,-2,0.0
periodic,2B,1,1,-2,-0.020242914979756943
periodic,2B,1,1,-2,0.07995618838992347
periodic,2B,1,1,-2,-0.08620689655172398
periodic,2B,1,1,-2,-0.04672897196261694
periodic,2B,1,1,-2,0.14936708860759496
periodic,2B,1,1,-2,0.1831442463533225
periodic,2B,1,1,-2,-0.07905138339920947
periodic,2B,1,1,-2,-0.0828729281767957
periodic,2B,1,1,-2,-0.07462686567164178
periodic,2B,1,1,-2,0.0
periodic,2B,1,1,-2,0.04700162074554293
periodic,2B,1,1,-2,0.08695652173913038
periodic,2B,1,1,-2,-0.035211267605633756
periodic,2B,1,1,-2,0.0
periodic,2B,1,1,-2,-0.07905138339920947
periodic,2B,1,1,-2,0.04700162074554293
periodic,2B,1,1,-2,0.36202531645569624
periodic,2B,1,1,-2,-0.05586592178770955
periodic,2B,1,1,-2,0.2149532710280373
periodic,2B,1,1,-2,-0.035211267605633756
periodic,2B,1,1,-2,-0.09406657018813314
periodic,2B,1,1,-2,-0.05586592178770955
periodic,2B,1,1,-2,-0.07905138339920947
periodic,2B,1,1,-2,0.10447761194029848
periodic,2B,1,1,-2,-0.09406657018813314
periodic,2B,1,1,-2,0.02749638205499283
periodic,2B,1,1,-2,-0.020242914979756943
periodic,2B,1,1,-2,-0.04672897196261694
periodic,2B,1,1,-2,0.2149532710280373
periodic,2B,1,1,-2,0.04700162074554293
periodic,2B,1,1,-1,-0.09846153846153838
periodic,2B,1,1,-1,-0.08181818181818179
periodic,2B,1,1,-1,-0.05517241379310356
periodic,2B,1,1,-1,-0.03478260869565197
