exp_subject_id,scram_cond,stim_num,run,response_vals
377747,2B,3,2,9285;19640;25309;33657;40129;45954;53165;56801;65225;71652;79762
377747,intact,1,1,1244;6211;14604;26539;37097;45734;49849;61616;68552
377747,intact,1,2,3569;7912;13597;16622;29427;44493;60634;66938;76978
377747,8B,3,1,2352;13590;16461;28616;34364;44010;51873;61837;67408;71701;72074;72256
377747,8B,3,2,1929;8946;11937;29957;43155;46012;48471
377747,1B,2,1,18805;24373;42099;43050;52158;60927
377747,1B,2,2,13334;17020;22409;31881;49958;56125;60470;66212;75533
377747,intact,2,1,10879;22044;37519;50204
377747,intact,2,2,9129;26474;45758;50508;65559
377747,2B,1,1,14333;29361;45878;64469
377747,2B,1,2,16820;23214;29741;49242;55072;75877
377747,intact,3,1,18446;30042;45443;48796;52672;61307;76195;78169
377747,intact,3,2,204;493;33880;52567;69367
377747,8B,2,1,10491;17495;25045;27563;35617;45613;66014;77223
377747,8B,2,2,17121;26378;28280;39328;56155;69994
377747,1B,1,1,5351;14325;23603;34686;42871;47347;60515;65572;72651
377747,1B,1,2,273;455;5208;14743;19287;26533;38336;46921;54805;61640;71116
377747,2B,2,1,4038;9866;19438;35605;38359;43729;54020;62498;65891;72020
377747,2B,2,2,5059;16545;19293;34726;39324;45970;55030;64722;70949;79087
377747,8B,1,1,13957;19890;35047;44815;54091;63766;80612
377747,8B,1,2,13399;17025;35077;45650;50692;61919;65772;69215;80023
377708,2B,3,1,5194;21015;57705
377708,2B,3,2,10592;41096;56868
377708,8B,1,1,19993;37024;69850
377708,8B,1,2,20222;50671;82205
377708,1B,3,1,19048;27451;54739;65685
377708,1B,3,2,14122;46925;66726
377708,1B,2,1,14799;32948;46123;64674
377708,1B,2,2,35367;56061
377708,intact,2,1,35508;55344;78100
377708,intact,2,2,49293;66065
377708,2B,2,1,9487;45528;73638
377708,2B,2,2,46081;65047
377708,1B,1,1,6646;19443;42698
377708,1B,1,2,9572;20173;36492;69499
377708,8B,3,1,13357;36144;52498
377708,8B,3,2,20836;48850;64208
377708,intact,1,1,35075;63623;69912
377708,intact,1,2,35602;64244;70468
377708,2B,1,1,5428;29354
377708,2B,1,2,5191;25594;43872
377708,8B,2,1,17862;65136
377708,8B,2,2,17595;45441
377708,intact,3,1,18390;36617;51653
377708,intact,3,2,19559;37263;51196
377703,8B,2,1,16872;25116;32663;41120;54170;55646;65063
377703,8B,2,2,16637;24670;32706;41159;46651;59624;65176
377703,2B,1,1,8806;17598;22075;25588;29128;37075;50082;57271;65110;69106;73111;76863
377703,2B,1,2,4685;7617;12671;16636;20703;23163;25116;28644;33673;33901;36702;48183;52646;57350;61733;64684;68664;73209;77603
377703,intact,3,1,17111;36593;50147;71075;83140
377703,intact,3,2,16602;34104;50216;68135
377703,8B,1,1,19125;35112;45100;52700;67395
377703,8B,1,2,19253;44017;52595;67171;69168
377703,2B,2,1,5668;18523;28133;41130;68591
377703,2B,2,2,5606;14150;18137;28163;40115;59610;66645;79587
377703,1B,3,1,5519;14073;23114;34106;44978;63600;71022
377703,1B,3,2,5617;9378;14611;26193;41216;47554;58132;67186;75134
377703,2B,3,1,5566;14746;19854;24918;33962;43104;54032;73062;81229
377703,2B,3,2,9192;16569;19212;24610;33591;46147;53183;57580;63160;75091;81455
377703,intact,1,1,19137;35341;51405;67370
377703,intact,1,2,35105;67091
377703,1B,1,1,5503;11569;15179;28453;34000;42420;47645;68884
377703,1B,1,2,4633;14667;24667;33384;42383;47583;57194;79610
377703,1B,2,1,11619;19784;23088;30326;38478;47178;72830
377703,1B,2,2,8828;16635;24195;33590;49142;65140;72867
377703,intact,2,1,8560;19756;25443;37165;45824;49258;65188
377703,intact,2,2,8666;13036;20438;32580;45288;50493;71491
377703,8B,3,1,12795;17524;28282;33631;45664;58064;61813
377703,8B,3,2,12720;21983;43359;61299;75254
377701,2B,3,1,10842;19071;25853;32638;35188;40276;46130;50390;55452;60494;63546;67729;75957;79980
377701,2B,3,2,1349;7354;12898;14211;18478;20500;29021;34046;40430;44713;47703;50865;53269;61490;69087;69446;74310;76520;81308
377701,1B,3,1,5961;10402;12469;17391;24856;27611;34394;40273;46253;53014;56685;60268;66886;72832;76345
377701,1B,3,2,1104;5125;10224;16013;19406;25978;31196;35063;38123;39967;44745;49264;61047;70976;79436
377701,8B,1,1,1497;7022;18836;26863;33078;37211;51639;59216;62647;65403;69462;73801;81413
377701,8B,1,2,1508;2353;5759;10714;12600;24010;33170;36495;44662;53672;60038;66322;68198;71360;82913
