exp_subject_id,scram_cond,stim_num,response1_vals,response2_vals
377703,intact,2,8560;19756;25443;37165;45824;49258;65188,8666;13036;20438;32580;45288;50493;71491
377703,8B,3,12795;17524;28282;33631;45664;58064;61813,12720;21983;43359;61299;75254
377701,2B,3,10842;19071;25853;32638;35188;40276;46130;50390;55452;60494;63546;67729;75957;79980,1349;7354;12898;14211;18478;20500;29021;34046;40430;44713;47703;50865;53269;61490;69087;69446;74310;76520;81308
377701,1B,3,5961;10402;12469;17391;24856;27611;34394;40273;46253;53014;56685;60268;66886;72832;76345,1104;5125;10224;16013;19406;25978;31196;35063;38123;39967;44745;49264;61047;70976;79436
377701,8B,1,1497;7022;18836;26863;33078;37211;51639;59216;62647;65403;69462;73801;81413,1508;2353;5759;10714;12600;24010;33170;36495;44662;53672;60038;66322;68198;71360;82913
377701,1B,2,1186;3092;7305;11988;24718;39195;42758;45163;46141;50534;55332;65708;68508;75378,1119;2466;4235;4786;12240;13341;15648;17888;20091;22664;24530;28259;31200;35926;40305;43139;45379;47017;52624;53870;56630;58793;61088;63611;66368;71826;77707
377701,2B,2,833;9360;24652;35973;45104;54224;61236;76158,3190;8483;34530;44054;65199;73053
377701,intact,2,10152;16222;25209;36901;41167;45618;47755;52054;62700;75813,1108;10241;12912;25756;34952;44372;48876;70166;75501
377701,intact,1,1830;6560;18281;26053;34760;38215;42723;45355;52945;56636;62155;71728;75908,1791;6803;12680;23978;34570;38710;42359;44822;55082;57568;66280;68097;74372
377701,1B,1,1491;6186;12485;16893;22313;31612;33234;38443;46645;54649;62366;69633,1000;4811;12478;15197;20182;32752;40212;45872;54389;59318;66660;71789;75382;80160
377701,8B,3,1950;10604;15175;18867;28661;39176;46644;54724;57787;64202;70262,4603;9550;12266;18240;23685;31106;38055;45557;51223;58164;61457;65233;68510;72147
377701,8B,2,5236;12027;18569;23504;26326;34147;40970;43846;47573;53219;56116;65499;70192;78652,16300;17570;21965;26279;32336;35732;38606;45520;50152;55695;63792;73540;79626
377701,intact,3,13762;18211;30936;35332;40102;46532;53120;61753;66096;73901,5602;17109;25816;30843;38302;41375;41797;52314;60607;67772;73359;78458
377701,2B,1,8368;13316;37188;46526;65083;72927,18351;35024;46052;56979;75778
377696,8B,2,32814;52352;66443,16895;32505;58602;66512
377696,intact,3,18742;51027;70651,16610;36343;50930
377696,2B,1,9624;25874;29284;39624;58622;66069;73615,23439;31181;57402;66820;74897
377696,8B,1,18601;35027;43064;69784;74311;84146,16482;39118;47370;69715
377696,1B,3,8642;16937;28405;43055;47753;69927,6633;14916;24458;35263;66936
377696,2B,2,8414;15267;27307;41330;50438;58173;65850,7421;16381;26467;44734;60636;67319
377696,intact,1,17397;33479;38494;57856;67495,19750;35363;55862;66520
377696,1B,1,5216;14655;30617;38212;47043;57821;65848;76390,4529;14520;24786;31887;46866;66390;75479
377696,2B,3,5962;11504;17644;23144;38981;42040;45725;52471;62619;70602,5518;15924;20578;25958;38749;44880;55536;63111;72981
377696,8B,3,12557;18429;40127;50893;63149;73138,12629;18209;32717;48668;63362;73503
377696,intact,2,21270;50328,19899;50960
377696,1B,2,46176,43742;49730
377694,2B,3,9414;21921;36113;53140;63379,9447;14153;46358
377694,intact,1,35535;52451;67611,27252;35183;51785;67625
377694,1B,3,9663;12214;17308;23392;35285;47237;62983,5375;9403;32194;35798;47355;60940;79568
377694,8B,3,17849;49057;63230,21219;33145;61849
377694,1B,2,10715;21618;45679;70988;75950,10532;20505;35927;45002;61285
377694,intact,2,14091;27773;49935;66134,10144;27326;49261;66647
377694,8B,2,17099;38245;45273;54892;69857,19467;27883;37317;45174;51405
377694,2B,1,7749;10958;13694;18253;24228;29460;39829;57083;66434;69909,5695;13460;26110;29324;43740;58070
377694,intact,3,18704;35909;51180,18948;37433;51171
377694,2B,2,4946;22219;34350;45782;65284,10266;45831;65293
377694,1B,1,12788;18189;33657;39752;43345;58338;75801,18201;36757;45957;65636;75975
377694,8B,1,16872;35533;58757;69961,18446;35275;45620;48975;69224;84321
377692,2B,3,19875;25812;62603;81391,19575;26277;62452;81622
377692,intact,1,34082;65276,33613;65717;66013
377692,1B,3,33469;42947;81109,34297
377692,8B,3,20686;36270;61337,15831;33990;49176
377692,intact,2,12163;27963;48392,45559;48330
377692,1B,2,11519;37191;47205;66129,10203;36174;44823
377692,8B,2,17039;27190;44063;55076,1422;17067;28748;44375;52739
377692,intact,3,16096;37177;50705;65013,16399;37433;50785;70076
377692,2B,1,2579;15573;31189;56629;65544,2154;14929;30199;41062;56735
377692,1B,1,5815;16220;33971;42240;66071,4996;16152;42876
377692,2B,2,27076;45990;64548,27215;39444;47112;60157;66234
377692,8B,1,20036;35531;45926;55327;69415,18266;35665;43584;54044;72178
377685,2B,2,25964;40969;58499,20187;68858
377685,intact,3,43525;53118;78679,20639;36059;47807;58749;69282
377685,8B,3,18509;31884;73383,8820;47677
377685,8B,2,29150;71782,18045;47802
377685,intact,1,69829,48220;75778
377685,1B,3,24463;55499,11370;71982
377685,1B,2,5967;20067;42141;68597,24274;31780;43855;57305;68516
377685,8B,1,52650,40653;54509;66051;72351
377685,2B,1,21747;40089;68827,44045
377685,1B,1,4839;10718;18975;33223;40261;48522;56820;73177,6381;22530;31606;44284;64876
377685,2B,3,5259;16093;23421;31821;47561;61586,11224;18610;21315;32050;59121;64763;75570
377685,intact,2,40043;50709,35139;43535;52084
377678,intact,3,7067;17401;28404;35217;48859;61096;66342;78145,10649;18025;32908;36675;47350;51114;65585;72045;81241
377678,2B,1,3910;9268;14791;19086;24031;30140;40118;46311;52047;57769;58200;69184;75462,3892;9815;18657;25274;30554;40108;56459;67322;75178;79844
377678,8B,2,18260;28530;36673;44581;49891;66206;76812,16779;31367;44659;49821;67043;74262
377678,8B,1,16914;22096;28376;34948;42257;48916;54997;64084;70027;82414,16182;21809;28820;34932;47217;63247;69149
377678,1B,3,5156;11670;17146;32573;41243;47629;56696;62772;70055;76878,5891;12156;16616;30242;35740;46236;57366;62532;70502
377678,2B,2,6563;9908;18219;24511;32626;37515;45246;50258;64457;79110,6366;9417;18652;24645;32974;40572;44218;61787;66164
377678,intact,1,6264;16501;18764;34579;46410;51078;64019;71578,18241;30076;35322;42165;58175;63372;67035;74197
377678,1B,1,3658;14820;20168;32553;42901;48667;56970;65194;74198;80211,3417;5694;14569;20530;25005;30900;35813;42973;49015;56994;64270;75702;80221
377678,2B,3,8226;14957;21916;28886;36695;45885;56301;61913;72535;78193,7996;19063;27666;32619;41771;53569;61025;70240
377678,1B,2,8143;14048;20674;28139;34392;41854;45517;54071;60148;66733;70403;73867;77977,8216;14954;21131;30211;32393;34985;42660;47301;54252;55858;66204;70168;77130
377678,8B,3,12677;18355;30861;46981;61481,12509;18235;35899;46219;74213
377678,intact,2,10273;21290;24943;29918;36167;44979;49445;66134,10368;13700;23410;32633;48288;65250
377672,2B,1,,58389
377672,intact,3,,38423;55741
377672,8B,2,,19759;47054
377672,1B,3,,9815;36531;43500;80585
377672,2B,2,,19612;49927;67082
377672,8B,1,,47707;70470;80923
377672,1B,1,,46121;70193
377672,intact,1,,37001;73671
377672,2B,3,,10018;56056
377672,intact,2,,24337;38939;57586;57665
377672,1B,2,,26417;37120;56085;73065
377672,8B,3,,9671;35691;67811
377665,8B,1,,19258;35520;46157;68606
377665,1B,3,,4467;8011;11411;13707;16555;22595;30609;34578;44648;47184;49080;56761;62647;69853;79035
377665,2B,3,,4697;18715;24866;35912;45088;53553;56601;63141;66086;76955;81180
377665,2B,2,,4840;11208;13792;17473;28306;38051;40602;45575;49825;53458;66738;68834
377665,intact,2,,11658;32769;42269
377665,1B,2,,4883;10627;14667;25392;31356;33284;38645;44773;54593;57506;60834;64881;74681
377665,1B,1,,4611;12034;15098;21543;29380;33052;38644;42596;45412;48731;54869;59942;69387;71027;74910;79369
377665,8B,3,,13228;32714;49004;61421
377665,intact,1,,16074;31657;34873;66988;77242
377665,8B,2,3231;39437,16958;32550;49549;65637
377665,2B,1,,9038;14085;44867;52969;60907
377665,intact,3,,18168;50643
377664,intact,3,50840,18652;50966
377664,2B,2,45135;65878,44530;65331
377664,8B,3,49793,18481;34436;67680
377664,intact,1,36923;67372,35096
377664,8B,2,28442;50985;78409,27764;42204;78895
377664,1B,3,15809;53841,47227;69060
377664,2B,1,57497,42949;56915
377664,1B,2,23393;73392,17426;45480
377664,8B,1,38370;60261;74943,48356;69355
377664,2B,3,20666;26958;76773,9476;21678
377664,intact,2,11298;50584,36456
377664,1B,1,16033;33805;43028;60397,6513;16486;70625
377663,8B,3,14851;19081;28972;29498;30406;46108;66391;72120;74309,14733;18210;28159;30501;44655;46448;66175;74580
377663,intact,3,15720;20799;24102;30248;32087;40095;46451;48450;57037;60479;64366;72342;78465;80365,14010;16089;20182;30579;32454;46421;48419;56224;60775;62463;64437;66621;78352;80162
377663,2B,2,3722;4696;6832;12456;16468;20921;23172;24733;26385;30661;32384;37132;40058;42567;54555;68403,4554;7061;12153;14129;16651;24666;26379;29020;36275;42397;53725;60922;62618;70508
377663,1B,3,2850;6775;12109;14809;22131;30255;32540;52936;54280;59222;60260;66596;70917;72494;76082,6780;12090;14831;18196;22043;28128;32375;44520;52532;54177;60145;65743;70499;75826;79690
377663,8B,2,14230;18256;22114;26195;28185;29044;30847;33436;54079;59110;62654;66304;66465;70130;76381;78228,6829;14145;18040;22094;28178;29107;30617;40859;41599;54132;59090;62080;66753;70126;76226;76344;78447
377663,intact,1,4345;6588;13156;16369;20374;24952;30523;32156;37136;40534;42570;46416;48141;52073;56890;64180;72996;73084,4113;9098;15117;16148;20046;25324;30122;32167;36518;40428;42206;44641;46498;48407;50453;56220;60722;62783;63580;64664;67052;69210;73129;78783
377663,2B,1,5708;8652;12362;14501;16691;20588;22819;28289;30279;35453;40251;43995;47149;52373;54416;60213;68338;72758;74495,4960;8189;12860;16376;22123;28474;33516;36835;38756;43405;47503;53551;54434;59163;67136;72711
377663,1B,2,931;5337;8188;11102;12775;14967;16958;18784;22475;24412;27403;31766;32711;37188;39430;42531;48324;51962;55462;59616;63153;68577;71630,840;4430;10349;12502;16439;20219;22953;26482;30567;33882;37308;40035;42456;44611;46480;50652;51560;54281;60174;67543;71645;73730;74645;78517
377663,8B,1,5430;10373;13733;17716;20151;23993;28218;32130;41080;42858;43428;45633;50101;52294;54296;61227;62744;64624;70442;74461;80982;82868,4313;8399;15081;16627;20407;24421;28464;33015;34718;44087;45716;50149;51993;54398;56214;61250;64236;68509;72775;79177;80785;82285;83746
377663,1B,1,5866;10512;14512;17818;21129;22858;25978;26963;29010;31595;35074;37002;38795;44471;46697;50149;54540;55513;58922;61662;66161;69329;72698;75550,4681;8317;14116;18403;22740;27038;28690;32375;35028;37257;40250;46458;51602;54511;56059;60016;67991;71236;72790;79425
377663,intact,2,6525;10482;16454;21039;24829;31837;34508;37617;44480;49400;53424;62774;65964;70077;73811;77464,6553;12008;15489;23015;25280;30757;39137;43336;47435;53315;61486;65858;73083
377663,2B,3,3536;6043;12179;20784;26315;31274;33555;36938;39105;43092;46459;48787;50732;53698;60508;63818;67334;72066;75510;78703,4059;8677;12821;17305;23768;27080;30984;34819;38013;40683;48613;51639;53539;56954;59905;62985;66509;70547;72990;76438
377650,intact,3,22677;35877;50972;62330,18575;35190;50996;61543
377650,8B,3,23837;32966;61114,61001;70664
377650,2B,2,4645;8969;11091;12621;24598;26566;48746;65287;69117,4549;8873;11338;12606;16991;24618;38164;48091;53157;64668;73515
377650,1B,3,5245;7245;9172;11389;12719;14547;19530;20912;22780;25591;28621;37070;42266;46984;52817;58130;69401;70765;78606,6070;7201;11262;12839;15179;20687;22668;34602;41284;52198;57133;67927;69451;70913
377650,8B,2,17177;24656;34063;51083;64913,16813;32717;50200;76873
377650,intact,1,35154;44802;67400,34974;42750
377650,1B,2,3095;13266;15365;18753;22913;24977;28840;34648;43148;49038;55761;59805;66375;71128;77086;79002,2998;10155;13653;15076;22076;30707;43500;50704;56268;61086;69214;76036;77970
377650,8B,1,29349;37018;43514,21498;34976;43052;67259
377650,2B,1,4636;13063;17108;21417;25397;28335;34462;37741;64604;72694,4598;12410;20214;28430;37400;64752;68950;72793
377650,2B,3,4953;12020;18872;25700;32620;35409;45171;46944;51086;53275;56630;63149;72806,5474;10025;13544;22021;29617;33170;35300;44938;50931;53419;56823;63316;73335
377650,1B,1,4916;13061;16158;23061;28068;33111;38972;45450;47586;52530;59690;65486;75660,4695;13317;15610;21246;27090;31690;33969;39339;43067;46925;60128;65483;79162
377650,intact,2,8608;19303;41054;49193;67062,8776;20103;25644;38077;45547;49042;66131;75187
377648,intact,3,21787,18193
377648,8B,2,22139;51128,33582
377648,2B,1,19487;52816;59337,42649;63573
377648,2B,2,8313;27635;39387;51460;65150,9020;51633;65988
