exp_subject_id,Task_Name,space_press1,space_press2
377703,8B_1,"""times=1645559224272;1645559243406;1645559259393;1645559269381;1645559276981;1645559291676---values=;19125;35112;45100;52700;67395""","""times=1645559224272;1645559331397;1645559356161;1645559364739;1645559379315;1645559381312---values=;19253;44017;52595;67171;69168"""
377703,2B_2,"""times=1645559054198;1645559059881;1645559072736;1645559082346;1645559095344;1645559122804---values=;5668;18523;28133;41130;68591""","""times=1645559054198;1645559143218;1645559151762;1645559155749;1645559165775;1645559177727;1645559197222;1645559204257;1645559217199---values=;5606;14150;18137;28163;40115;59610;66645;79587"""
377703,1B_3,"""times=1645558880929;1645558886451;1645558895005;1645558904047;1645558915038;1645558925910;1645558944532;1645558951954---values=;5519;14073;23114;34106;44978;63600;71022""","""times=1645558880929;1645558971429;1645558975190;1645558980423;1645558992005;1645559007028;1645559013366;1645559023945;1645559032998;1645559040946---values=;5617;9378;14611;26193;41216;47554;58132;67186;75134"""
377703,2B_3,"""times=1645558669264;1645558674834;1645558684014;1645558689122;1645558694186;1645558703230;1645558712372;1645558723300;1645558742330;1645558750497---values=;5566;14746;19854;24918;33962;43104;54032;73062;81229""","""times=1645558669264;1645558763355;1645558770733;1645558773375;1645558778773;1645558787754;1645558800310;1645558807346;1645558811743;1645558817323;1645558829254;1645558835618---values=;9192;16569;19212;24610;33591;46147;53183;57580;63160;75091;81455"""
377703,intact_1,"""times=1645558501623;1645558520769;1645558536973;1645558553037;1645558569002---values=;19137;35341;51405;67370""","""times=1645558501623;1645558618634;1645558650620---values=;35105;67091"""
377703,1B_1,"""times=1645558330200;1645558335717;1645558341783;1645558345393;1645558358667;1645558364214;1645558372634;1645558377859;1645558399098---values=;5503;11569;15179;28453;34000;42420;47645;68884""","""times=1645558330200;1645558418246;1645558428280;1645558438280;1645558446997;1645558455996;1645558461196;1645558470807;1645558493223---values=;4633;14667;24667;33384;42383;47583;57194;79610"""
377703,1B_2,"""times=1645558126578;1645558138200;1645558146365;1645558149669;1645558156907;1645558165059;1645558173759;1645558199411---values=;11619;19784;23088;30326;38478;47178;72830""","""times=1645558126578;1645558218808;1645558226615;1645558234175;1645558243570;1645558259123;1645558275120;1645558282847---values=;8828;16635;24195;33590;49142;65140;72867"""
377703,intact_2,"""times=1645557956163;1645557964726;1645557975922;1645557981609;1645557993331;1645558001990;1645558005424;1645558021354---values=;8560;19756;25443;37165;45824;49258;65188""","""times=1645557956163;1645558048229;1645558052599;1645558060001;1645558072143;1645558084851;1645558090056;1645558111054---values=;8666;13036;20438;32580;45288;50493;71491"""
377703,8B_3,"""times=1645557792120;1645557804928;1645557809657;1645557820415;1645557825764;1645557837797;1645557850197;1645557853946---values=;12795;17524;28282;33631;45664;58064;61813""","""times=1645557792120;1645557885283;1645557894546;1645557915922;1645557933862;1645557947817---values=;12720;21983;43359;61299;75254"""
377703,practice_task,"""times=1645557621027;1645557630827;1645557642844;1645557649244;1645557661438---values=17123;26923;38940;45340;57534""","""times=1645557686170;1645557695090;1645557707184;1645557714159;1645557727498---values=16623;25543;37637;44612;57950"""
